file,section,id,commons_title,author,license,license_url,source_page
yoga/loosening-neck.png,yoga,loosening-neck,AI-generated instructional card,OpenAI image generation,Project asset,,Generated for KREEDA; requires instructor review before release
yoga/loosening-shoulder.png,yoga,loosening-shoulder,AI-generated instructional card,OpenAI image generation,Project asset,,Generated for KREEDA; requires instructor review before release
yoga/loosening-trunk.png,yoga,loosening-trunk,AI-generated instructional card,OpenAI image generation,Project asset,,Generated for KREEDA; requires instructor review before release
yoga/loosening-knee.png,yoga,loosening-knee,AI-generated instructional card,OpenAI image generation,Project asset,,Generated for KREEDA; requires instructor review before release
yoga/sheetali.png,yoga,sheetali,AI-generated instructional card,OpenAI image generation,Project asset,,Generated for KREEDA; requires instructor review before release
dhyana/anapana.jpg,dhyana,anapana,File:Yoga at school.jpg,Archies2804,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Yoga_at_school.jpg
dhyana/walking-meditation.jpg,dhyana,walking-meditation,File:Peace is every step in Temple 01.jpg,Phra atipanyo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Peace_is_every_step_in_Temple_01.jpg
dhyana/om-chanting.png,dhyana,om-chanting,File:Emojione BW 1F549.svg,https://github.com/emojione/emojione/graphs/contributors,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Emojione_BW_1F549.svg
dhyana/trataka.jpg,dhyana,trataka,File:Trataka.JPG,Aikhan,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Trataka.JPG
dhyana/maitri.jpg,dhyana,maitri,"File:Senior Monk in meditation, Myanmar.jpg",Bks07,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Senior_Monk_in_meditation,_Myanmar.jpg"
dhyana/preksha-dhyana.jpg,dhyana,preksha-dhyana,File:Ahinsa Sthal.jpg,Harjeetsinghnarang,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Ahinsa_Sthal.jpg
dhyana/sakshi-bhava.jpg,dhyana,sakshi-bhava,"File:Sculpture of Boddhisatva in Dhyana mudra (Meditation Pose), provenance unlisted, Lahore Museum, Pakistan.jpg",SpeakingArch,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Sculpture_of_Boddhisatva_in_Dhyana_mudra_(Meditation_Pose),_provenance_unlisted,_Lahore_Museum,_Pakistan.jpg"
dhyana/dhyana-mudra.jpg,dhyana,dhyana-mudra,File:Man painting in gold a statue of the Buddha.jpg,Basile Morin,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Man_painting_in_gold_a_statue_of_the_Buddha.jpg
dhyana/vipassana.jpg,dhyana,vipassana,"File:Statues of Gautama Buddha, Vimutti Vipassana Meditation Centre (132114).jpg",Moheen Reeyad,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Statues_of_Gautama_Buddha,_Vimutti_Vipassana_Meditation_Centre_(132114).jpg"
